iter	MultiClass
0	1.576642111
1	1.374548851
2	1.22848039
3	1.124991918
4	1.044620983
5	0.9825933878
6	0.9313161642
7	0.8859407595
8	0.8430637509
9	0.8098426062
10	0.789545959
11	0.7677672717
12	0.7486445516
13	0.7298552991
14	0.7123899786
15	0.6970556328
16	0.6828660517
17	0.6696267911
18	0.6593177836
19	0.6489859221
20	0.6412611471
21	0.6322700858
22	0.6246519143
23	0.6196541112
24	0.6151791489
25	0.608924305
26	0.6048272911
27	0.6004023273
28	0.5929864743
29	0.5877079257
30	0.5837806262
31	0.5803295791
32	0.5766459513
33	0.5713979018
34	0.567676667
35	0.5634990473
36	0.5602039776
37	0.5575325502
38	0.5543791909
39	0.5515120458
40	0.5479144724
41	0.5463965612
42	0.5436168525
43	0.5387823498
44	0.5366948464
45	0.5341960848
46	0.5313626402
47	0.5280842579
48	0.5263372064
49	0.523465674
50	0.5214530283
51	0.5191753988
52	0.5167135974
53	0.5138584339
54	0.5106211119
55	0.5087258501
56	0.5069468714
57	0.5057180581
58	0.5030841617
59	0.5001135708
60	0.4986417148
61	0.4953186833
62	0.4940440951
63	0.4918396464
64	0.4893057651
65	0.4869885482
66	0.4844939476
67	0.4828421518
68	0.4805046921
69	0.4794793149
70	0.4773615875
71	0.4753617339
72	0.4735065766
73	0.4720962591
74	0.4711474933
75	0.4684420438
76	0.4658377999
77	0.4644871054
78	0.4631681253
79	0.4621357172
80	0.4603252279
81	0.4585029171
82	0.4569493485
83	0.4556640946
84	0.4542559109
85	0.4530229624
86	0.4516993029
87	0.4504178655
88	0.4493357678
89	0.4469579005
90	0.4456176256
91	0.444241985
92	0.4422851865
93	0.4406203279
94	0.4391239864
95	0.4368836637
96	0.435447786
97	0.4339252078
98	0.4315760123
99	0.4293285003
100	0.4270514051
101	0.4257838015
102	0.4241840847
103	0.4223729702
104	0.4217457905
105	0.4201443536
106	0.4185875172
107	0.4172111389
108	0.4156192685
109	0.4139613081
110	0.4124150976
111	0.4112374463
112	0.410437354
113	0.4096010665
114	0.408235014
115	0.4075479407
116	0.4062077468
117	0.4053684712
118	0.4045053121
119	0.4037031253
120	0.401489479
121	0.3998047919
122	0.398190791
123	0.3971360701
124	0.3961910294
125	0.395030228
126	0.3939305718
127	0.3922143174
128	0.3915356541
129	0.3904728748
130	0.3894384492
131	0.3879727834
132	0.3869652293
133	0.3863220288
134	0.3856851625
135	0.3846471043
